[00:00.01,00:00.35] 161.98Hz
[00:40.57,00:40.72] 177.67Hz
[00:40.80,00:41.19] 252.71Hz
[00:41.27,00:42.13] 239.91Hz
[00:42.26,00:42.78] 206.46Hz
[00:42.83,00:43.37] 244.11Hz
[00:43.46,00:45.48] 205.27Hz
[00:45.89,00:46.31] 125.63Hz
[00:46.36,00:46.57] 125.63Hz
[00:46.61,00:46.88] 150.26Hz
[00:47.39,00:47.54] 89.87Hz
[00:47.59,00:47.68] 166.73Hz
[00:47.71,00:47.79] 186.07Hz
[00:47.96,00:48.41] 133.87Hz
[00:48.55,00:48.82] 295.37Hz
[00:48.85,00:48.96] 108.74Hz
[00:49.03,00:50.13] 115.20Hz
[00:50.31,00:50.49] 84.82Hz
[00:50.56,00:50.89] 208.86Hz
[00:50.91,00:51.13] 190.42Hz
[00:51.18,00:51.30] 161.98Hz
[00:51.36,00:51.86] 157.37Hz
[00:52.56,00:53.06] 110.64Hz
[00:53.08,00:53.27] 140.20Hz
[00:53.38,00:53.70] 239.91Hz
[00:53.73,00:53.87] 349.23Hz
[00:54.08,00:54.18] 180.77Hz
[00:54.36,00:54.94] 220.00Hz
[00:54.97,00:55.04] 141.83Hz
[00:55.07,00:55.51] 211.28Hz
[00:55.55,00:55.76] 231.74Hz
[00:55.93,00:56.03] 869.89Hz
[00:56.26,00:56.53] 1864.66Hz
[00:56.81,00:56.95] 369.99Hz
[00:56.99,00:57.11] 178.70Hz
[00:57.24,00:57.53] 212.51Hz
[00:57.64,00:57.90] 241.30Hz
[00:57.97,00:58.11] 217.47Hz
[00:58.13,00:58.55] 192.63Hz
[00:58.58,00:59.12] 225.14Hz
[00:59.16,01:00.85] 176.64Hz
[01:00.93,01:01.02] 141.01Hz
[01:01.11,01:01.79] 177.67Hz
[01:01.85,01:02.24] 155.56Hz
[01:02.31,01:03.79] 145.15Hz
[01:04.35,01:04.82] 122.05Hz
[01:04.97,01:05.29] 223.85Hz
[01:05.35,01:05.86] 280.40Hz
[01:05.98,01:06.34] 272.42Hz
[01:06.46,01:06.93] 211.28Hz
[01:06.95,01:07.11] 258.62Hz
[01:07.19,01:07.33] 179.73Hz
[01:07.42,01:08.73] 161.98Hz
[01:08.94,01:09.50] 73.42Hz
[01:09.52,01:10.10] 140.20Hz
[01:12.67,01:12.95] 148.54Hz
[01:12.98,01:14.73] 164.81Hz
[01:14.76,01:14.85] 171.61Hz
[01:14.93,01:15.08] 179.73Hz
[01:15.16,01:16.13] 177.67Hz
[01:16.17,01:16.46] 374.29Hz
[01:16.56,01:17.62] 182.87Hz
[01:17.66,01:18.07] 380.84Hz
[01:19.53,01:19.93] 959.65Hz
[01:20.17,01:20.26] 427.47Hz
[01:20.45,01:22.48] 145.99Hz
[01:22.50,01:22.56] 165.77Hz
[01:22.73,01:22.92] 143.48Hz
[01:23.13,01:23.59] 90.91Hz
[01:23.68,01:24.68] 93.03Hz
[01:24.73,01:24.99] 94.12Hz
[01:25.22,01:26.10] 88.32Hz
[01:26.20,01:26.76] 79.14Hz
[01:27.12,01:27.25] 70.10Hz
[01:27.54,01:28.67] 118.58Hz
[01:28.71,01:29.12] 130.81Hz
[01:29.30,01:29.61] 133.87Hz
[01:30.20,01:30.27] 76.01Hz
[01:30.29,01:30.59] 108.74Hz
[01:30.65,01:30.99] 94.66Hz
[01:31.13,01:31.46] 155.56Hz
[01:31.49,01:31.96] 136.21Hz
[01:32.09,01:32.46] 113.88Hz
[01:33.08,01:33.45] 117.22Hz
[01:33.55,01:33.87] 149.40Hz
[01:33.96,01:34.95] 126.36Hz
[01:34.98,01:35.54] 137.79Hz
[01:35.64,01:35.97] 110.00Hz
[01:36.07,01:36.17] 110.64Hz
[01:36.21,01:36.44] 329.63Hz
[01:36.57,01:36.91] 329.63Hz
[01:37.02,01:37.43] 329.63Hz
[01:37.70,01:37.86] 278.79Hz
[01:37.88,01:38.35] 230.40Hz
[01:38.37,01:38.77] 218.73Hz
[01:38.92,01:39.17] 213.74Hz
[01:39.24,01:39.59] 206.46Hz
[01:39.67,01:39.78] 185.00Hz
[01:39.86,01:40.37] 180.77Hz
[01:40.57,01:41.66] 401.16Hz
[01:41.75,01:43.04] 216.22Hz
[01:43.14,01:43.63] 221.27Hz
[01:43.71,01:44.27] 212.51Hz
[01:45.13,01:45.37] 145.15Hz
[01:45.41,01:46.36] 182.87Hz
[01:46.53,01:47.06] 206.46Hz
[01:47.33,01:47.97] 164.81Hz
[01:48.30,01:49.68] 137.00Hz
[01:49.75,01:51.30] 176.64Hz
[01:51.39,01:51.46] 185.00Hz
[01:51.49,01:52.80] 185.00Hz
[01:53.14,01:53.78] 147.68Hz
[01:53.87,01:54.82] 180.77Hz
[01:55.07,01:55.47] 187.15Hz
[01:55.58,01:56.13] 185.00Hz
[01:56.27,01:56.55] 241.30Hz
[01:56.59,01:57.04] 244.11Hz
[01:57.08,01:57.13] 155.56Hz
[01:57.18,01:57.41] 251.26Hz
[01:57.53,01:57.75] 164.81Hz
[01:57.84,01:57.96] 277.18Hz
[01:58.06,01:58.29] 217.47Hz
[01:58.47,01:58.89] 272.42Hz
[01:58.91,01:59.62] 125.63Hz
[01:59.66,01:59.81] 242.70Hz
[01:59.90,02:00.19] 258.62Hz
[02:00.76,02:01.46] 102.63Hz
[02:01.52,02:02.01] 123.47Hz
[02:02.09,02:02.40] 157.37Hz
[02:02.52,02:03.01] 122.76Hz
[02:03.07,02:03.50] 100.87Hz
[02:03.63,02:04.16] 127.09Hz
[02:04.28,02:04.59] 139.39Hz
[02:04.61,02:04.91] 127.83Hz
[02:05.04,02:06.41] 137.00Hz
[02:06.44,02:06.64] 293.66Hz
[02:06.70,02:06.82] 329.63Hz
[02:06.85,02:07.00] 190.42Hz
[02:07.02,02:08.51] 138.59Hz
[02:08.55,02:08.60] 69.30Hz
[02:08.67,02:09.40] 103.23Hz
[02:09.49,02:09.73] 103.83Hz
[02:09.86,02:10.12] 128.57Hz
[02:10.15,02:11.23] 102.63Hz
[02:11.27,02:12.19] 98.57Hz
[02:12.26,02:12.73] 74.27Hz
[02:13.10,02:13.54] 88.32Hz
[02:13.70,02:13.93] 119.26Hz
[02:13.96,02:14.84] 111.92Hz
[02:14.92,02:15.35] 104.43Hz
[02:15.40,02:15.64] 121.35Hz
[02:15.72,02:16.14] 95.21Hz
[02:16.35,02:16.75] 127.83Hz
[02:17.95,02:18.32] 73.42Hz
[02:18.37,02:19.06] 176.64Hz
[02:19.28,02:20.12] 187.15Hz
[02:20.17,02:20.62] 156.46Hz
[02:20.75,02:21.21] 185.00Hz
[02:21.43,02:22.42] 154.67Hz
[02:22.68,02:23.03] 93.57Hz
[02:23.12,02:23.35] 81.93Hz
[02:23.39,02:24.38] 201.74Hz
[02:24.51,02:24.74] 178.70Hz
[02:24.78,02:25.97] 405.82Hz
[02:26.01,02:26.67] 205.27Hz
[02:26.76,02:27.42] 286.96Hz
[02:27.49,02:27.70] 278.79Hz
[02:27.73,02:27.81] 275.59Hz
[02:27.84,02:28.05] 560.81Hz
[02:28.27,02:28.38] 583.95Hz
[02:28.47,02:29.01] 137.79Hz
[02:29.21,02:29.52] 221.27Hz
[02:29.68,02:30.14] 179.73Hz
[02:30.22,02:30.57] 412.91Hz
[02:30.60,02:30.79] 187.15Hz
[02:31.97,02:32.16] 220.00Hz
[02:32.26,02:32.58] 221.27Hz
[02:34.31,02:35.54] 183.93Hz
[02:35.57,02:35.99] 137.79Hz
[02:36.27,02:36.55] 138.59Hz
[02:36.67,02:36.82] 137.00Hz
[02:36.92,02:37.62] 211.28Hz
[02:37.72,02:38.13] 447.69Hz
[02:38.26,02:38.42] 408.17Hz
[02:38.50,02:38.69] 91.97Hz
[02:38.71,02:38.78] 194.87Hz
[02:38.87,02:39.14] 187.15Hz
[02:39.35,02:40.00] 272.42Hz
[02:40.39,02:40.65] 162.92Hz
[02:40.82,02:41.19] 267.74Hz
[02:41.26,02:41.49] 192.63Hz
[02:41.52,02:41.76] 286.96Hz
[02:42.28,02:42.66] 104.43Hz
[02:42.82,02:43.07] 122.05Hz
[02:43.14,02:44.13] 134.65Hz
[02:44.19,02:44.86] 124.19Hz
[02:44.92,02:45.63] 141.83Hz
[02:45.65,02:46.08] 120.65Hz
[02:46.12,02:47.92] 162.92Hz
[02:47.94,02:48.03] 83.36Hz
[02:48.30,02:49.20] 242.70Hz
[02:49.32,02:49.70] 214.98Hz
[02:49.73,02:51.05] 145.15Hz
[02:51.25,02:51.57] 335.39Hz
[02:51.61,02:52.03] 165.77Hz
[02:52.05,02:52.12] 122.05Hz
[02:52.18,02:52.43] 383.04Hz
[02:52.49,02:52.58] 427.47Hz
[02:52.68,02:52.76] 106.25Hz
[02:52.84,02:53.52] 109.37Hz
[02:53.60,02:53.71] 141.83Hz
[02:53.74,02:54.06] 150.26Hz
[02:54.11,02:54.54] 130.81Hz
[02:54.57,02:54.73] 93.03Hz
[02:55.10,02:55.29] 111.28Hz
[02:55.37,02:56.74] 246.94Hz
[02:56.84,02:57.08] 113.88Hz
[02:57.26,02:57.53] 93.57Hz
[02:57.71,02:57.83] 84.82Hz
[02:58.48,02:58.78] 139.39Hz
[02:58.86,02:59.15] 82.88Hz
[02:59.26,02:59.73] 108.74Hz
[03:00.45,03:01.24] 141.83Hz
[03:02.10,03:02.25] 137.79Hz
[03:02.47,03:02.69] 123.47Hz
[03:02.82,03:03.04] 111.92Hz
[03:03.11,03:03.48] 92.50Hz
[03:03.77,03:04.67] 87.81Hz
[03:04.75,03:04.85] 121.35Hz
[03:05.00,03:05.24] 116.54Hz
[03:05.40,03:05.93] 89.87Hz
[03:05.97,03:06.76] 121.35Hz
[03:06.94,03:07.22] 124.19Hz
[03:07.30,03:07.73] 95.76Hz
[03:07.97,03:08.28] 90.39Hz
[03:09.01,03:09.41] 133.10Hz
[03:09.59,03:09.67] 138.59Hz
[03:09.82,03:10.67] 151.13Hz
[03:10.73,03:13.48] 242.70Hz
[03:13.63,03:13.70] 185.00Hz
[03:13.88,03:14.13] 166.73Hz
[03:14.21,03:14.54] 258.62Hz
[03:14.68,03:15.12] 237.16Hz
[03:15.29,03:15.43] 68.90Hz
[03:15.87,03:16.81] 163.86Hz
[03:16.84,03:17.49] 210.07Hz
[03:17.56,03:17.80] 185.00Hz
[03:17.82,03:17.96] 266.20Hz
[03:18.05,03:18.37] 278.79Hz
[03:18.55,03:19.12] 255.65Hz
[03:19.26,03:19.76] 191.52Hz
[03:19.82,03:20.14] 378.64Hz
[03:20.19,03:20.35] 189.32Hz
[03:20.39,03:20.48] 440.00Hz
[03:20.57,03:20.70] 1864.66Hz
[03:20.93,03:21.08] 845.13Hz
[03:21.15,03:21.93] 248.37Hz
[03:21.99,03:22.12] 72.57Hz
[03:22.16,03:22.41] 90.91Hz
[03:22.43,03:23.65] 96.87Hz
[03:23.69,03:23.93] 193.75Hz
[03:24.09,03:24.29] 148.54Hz
[03:24.37,03:25.67] 267.74Hz
[03:25.81,03:25.91] 277.18Hz
[03:25.98,03:26.14] 92.50Hz
[03:26.27,03:26.61] 123.47Hz
[03:26.63,03:27.10] 133.87Hz
[03:27.24,03:27.45] 131.57Hz
[03:27.87,03:28.57] 82.41Hz
[03:28.79,03:29.12] 94.66Hz
[03:29.18,03:29.26] 92.50Hz
[03:30.27,03:30.37] 113.88Hz
[03:30.40,03:32.01] 156.46Hz
[03:32.15,03:32.21] 277.18Hz
[03:32.27,03:32.56] 277.18Hz
[03:32.58,03:32.68] 410.53Hz
[03:35.24,03:35.52] 1102.34Hz
[03:35.56,03:35.72] 1102.34Hz
[03:36.28,03:36.35] 1986.98Hz
[03:36.42,03:36.56] 1986.98Hz
[03:37.06,03:37.13] 1998.49Hz
[03:37.77,03:37.90] 1998.49Hz
