[00:00.859,00:01.370] 174.78Hz
[01:04.168,01:07.315] 163.09Hz
[01:07.384,01:07.477] 100.46Hz
[01:07.570,01:08.766] 142.13Hz
[01:08.870,01:09.010] 138.37Hz
[01:09.079,01:09.416] 155.08Hz
[01:09.497,01:09.648] 107.25Hz
[01:09.718,01:09.846] 175.36Hz
[01:09.927,01:10.206] 124.90Hz
[01:10.345,01:10.960] 97.73Hz
[01:11.007,01:11.784] 145.58Hz
[01:11.819,01:11.912] 98.51Hz
[01:11.970,01:12.052] 146.65Hz
[01:12.098,01:12.168] 149.85Hz
[01:12.295,01:12.469] 175.92Hz
[01:12.493,01:13.619] 101.64Hz
[01:13.642,01:13.770] 148.54Hz
[01:13.793,01:14.037] 150.30Hz
[01:14.060,01:14.118] 153.03Hz
[01:14.141,01:14.211] 147.37Hz
[01:14.257,01:14.408] 262.83Hz
[01:14.582,01:16.696] 221.27Hz
[01:16.788,01:17.427] 215.17Hz
[01:17.473,01:17.613] 109.91Hz
[01:17.659,01:17.787] 86.90Hz
[01:17.845,01:18.855] 211.33Hz
[01:18.890,01:19.006] 418.02Hz
[01:19.064,01:19.203] 172.96Hz
[01:19.366,01:21.200] 131.52Hz
[01:21.490,01:21.665] 109.37Hz
[01:21.699,01:23.557] 222.23Hz
[01:23.592,01:24.068] 220.00Hz
[01:24.103,01:24.277] 110.01Hz
[01:24.300,01:24.602] 173.64Hz
[01:24.637,01:25.008] 75.07Hz
[01:25.124,01:25.670] 217.14Hz
[01:25.763,01:25.937] 386.44Hz
[01:25.983,01:26.146] 165.85Hz
[01:26.216,01:27.110] 211.06Hz
[01:27.144,01:28.073] 131.63Hz
[01:28.236,01:28.584] 127.23Hz
[01:28.619,01:29.002] 147.23Hz
[01:29.037,01:29.223] 110.59Hz
[01:29.339,01:29.420] 110.00Hz
[01:29.466,01:29.687] 356.61Hz
[01:29.780,01:29.826] 712.24Hz
[01:29.873,01:30.151] 608.29Hz
[01:30.279,01:31.928] 854.40Hz
[01:32.775,01:33.217] 867.89Hz
[01:33.286,01:34.970] 792.34Hz
[01:35.051,01:35.457] 134.50Hz
[01:35.492,01:35.655] 77.62Hz
[01:35.782,01:35.840] 117.20Hz
[01:35.887,01:36.084] 144.04Hz
[01:36.165,01:36.270] 268.88Hz
[01:36.316,01:36.549] 726.68Hz
[01:36.641,01:37.036] 675.29Hz
[01:37.106,01:38.963] 865.38Hz
[01:38.998,01:39.230] 424.47Hz
[01:39.300,01:39.439] 185.44Hz
[01:39.660,01:40.542] 799.69Hz
[01:40.577,01:42.748] 617.82Hz
[01:42.864,01:43.097] 73.42Hz
[01:43.143,01:49.099] 145.07Hz
[01:49.122,01:50.144] 157.62Hz
[01:50.214,01:50.399] 88.01Hz
[01:50.422,01:50.875] 130.79Hz
[01:50.910,01:51.282] 220.63Hz
[01:51.328,01:51.421] 73.77Hz
[01:51.444,01:51.781] 109.30Hz
[01:51.816,01:53.128] 206.39Hz
[01:53.220,01:57.249] 146.96Hz
[01:57.296,01:59.548] 221.26Hz
[01:59.641,02:00.279] 218.10Hz
[02:00.326,02:00.477] 109.91Hz
[02:00.512,02:00.651] 87.31Hz
[02:00.697,02:01.510] 201.38Hz
[02:01.568,02:01.858] 418.37Hz
[02:01.916,02:02.067] 173.63Hz
[02:02.230,02:04.018] 130.28Hz
[02:04.087,02:04.134] 87.24Hz
[02:04.354,02:04.505] 109.37Hz
[02:04.540,02:07.083] 219.05Hz
[02:07.164,02:07.443] 174.27Hz
[02:07.478,02:07.768] 87.12Hz
[02:07.988,02:08.522] 217.35Hz
[02:08.627,02:08.801] 390.51Hz
[02:08.848,02:09.022] 166.09Hz
[02:09.068,02:09.602] 175.73Hz
[02:09.683,02:09.962] 208.64Hz
[02:09.997,02:10.949] 134.47Hz
[02:11.088,02:11.855] 119.96Hz
[02:11.878,02:12.087] 110.63Hz
[02:12.191,02:12.284] 110.64Hz
[02:12.331,02:12.493] 348.34Hz
[02:12.516,02:13.016] 143.61Hz
[02:13.143,02:13.352] 709.00Hz
[02:13.399,02:14.792] 280.65Hz
[02:14.850,02:14.989] 863.39Hz
[02:15.047,02:15.233] 275.00Hz
[02:15.256,02:15.419] 415.91Hz
[02:15.523,02:15.616] 413.23Hz
[02:15.651,02:15.814] 895.35Hz
[02:15.930,02:16.057] 867.17Hz
[02:16.150,02:16.255] 813.73Hz
[02:16.336,02:16.452] 828.66Hz
[02:16.591,02:16.847] 720.19Hz
[02:16.905,02:17.810] 200.21Hz
[02:17.880,02:18.310] 138.35Hz
[02:18.344,02:18.519] 89.16Hz
[02:18.600,02:18.704] 289.29Hz
[02:18.739,02:18.937] 144.13Hz
[02:18.971,02:19.401] 362.89Hz
[02:19.587,02:19.947] 229.90Hz
[02:20.005,02:20.214] 705.02Hz
[02:20.260,02:21.700] 213.05Hz
[02:21.793,02:22.083] 282.98Hz
[02:22.153,02:22.292] 185.78Hz
[02:22.373,02:22.478] 409.29Hz
[02:22.512,02:23.337] 822.73Hz
[02:23.441,02:24.266] 797.29Hz
[02:24.324,02:24.649] 788.23Hz
[02:24.742,02:25.194] 133.03Hz
[02:25.218,02:25.369] 75.98Hz
[02:25.403,02:26.123] 110.41Hz
[02:26.471,02:26.901] 157.91Hz
[02:27.110,02:27.331] 337.88Hz
[02:31.510,02:31.986] 116.31Hz
[02:32.021,02:32.323] 112.55Hz
[02:32.393,02:32.741] 128.02Hz
[02:33.809,02:33.948] 2004.28Hz
[02:33.972,02:34.134] 2007.33Hz
[02:34.157,02:34.320] 1998.56Hz
