[00:00.080,00:00.140] 67.71Hz
[03:12.990,03:15.720] 178.70Hz
[03:16.000,03:16.090] 68.90Hz
[03:16.130,03:16.800] 178.70Hz
[03:17.450,03:17.560] 103.23Hz
[03:17.590,03:17.800] 205.27Hz
[03:17.880,03:18.010] 87.31Hz
[03:18.040,03:18.210] 168.67Hz
[03:18.340,03:18.580] 153.78Hz
[03:18.980,03:19.420] 127.09Hz
[03:19.490,03:19.690] 359.46Hz
[03:19.750,03:19.960] 361.54Hz
[03:20.170,03:20.310] 96.87Hz
[03:21.430,03:21.560] 82.88Hz
[03:21.680,03:22.010] 182.87Hz
[03:22.070,03:22.970] 194.87Hz
[03:23.000,03:23.200] 74.27Hz
[03:23.560,03:23.700] 74.27Hz
[03:24.060,03:24.230] 72.57Hz
[03:24.470,03:25.610] 128.57Hz
[03:25.680,03:27.280] 127.83Hz
[03:27.380,03:28.500] 120.65Hz
[03:31.200,03:31.300] 72.99Hz
[03:31.650,03:31.800] 65.79Hz
[03:34.800,03:34.900] 76.89Hz
